,location,eventType,dt,event_name,event_date,dates
396,6700 BLOCK OF AZALEA GARDEN ROAD,Flooded street,2014-07-04 02:46:40,Arthur-2014-07-03,2014-07-03,2014-07-04
397,8100 SHORE DRIVE,Flooded street,2014-07-04 08:33:23,Arthur-2014-07-03,2014-07-03,2014-07-04
398,7900 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-07-04 08:53:58,Arthur-2014-07-03,2014-07-03,2014-07-04
399,8000 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-07-04 08:54:35,Arthur-2014-07-03,2014-07-03,2014-07-04
400,8100 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-07-04 08:55:09,Arthur-2014-07-03,2014-07-03,2014-07-04
401,8100 BLOCK OF SHORE DRIVE,Flooded street,2014-07-04 08:55:39,Arthur-2014-07-03,2014-07-03,2014-07-04
402,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2014-07-04 09:30:50,Arthur-2014-07-03,2014-07-03,2014-07-04
403,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded underpass,2014-07-09 18:03:37,Thunderstorms-2014-07-09,2014-07-09,2014-07-09
404,900 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2014-07-09 18:04:14,Thunderstorms-2014-07-09,2014-07-09,2014-07-09
405,E FREEMASON STREET & GRANBY STREET,Flooded street,2014-07-10 15:13:19,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
406,100 BLOCK OF E FREEMASON STREET,Flooded street,2014-07-10 15:14:15,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
407,AZALEA GARDEN ROAD & E VIRGINIA BEACH BOULEVARD,Flooded street,2014-07-10 15:22:45,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
408,100 BLOCK OF PARK AVENUE,Flooded street,2014-07-10 15:23:31,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
409,W FREEMASON STREET & GRANBY STREET,Flooded street,2014-07-10 15:24:43,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
410,E PRINCESS ANNE ROAD & INGLESIDE ROAD,Flooded street,2014-07-10 15:25:24,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
411,CHESAPEAKE BOULEVARD & CROMWELL ROAD,Flooded street,2014-07-10 15:26:39,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
412,MONTICELLO AVENUE & E CITY HALL AVENUE,Flooded street,2014-07-10 15:27:51,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
413,BAGNALL ROAD & TIDEWATER DRIVE,Flooded street,2014-07-10 15:33:06,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
414,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2014-07-10 15:34:35,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
415,E BRAMBLETON AVENUE & PARK AVENUE,Flooded street,2014-07-10 15:35:26,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
416,2300 BLOCK OF CROMWELL ROAD,Flooded street,2014-07-10 15:37:19,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
417,LEAD STREET & E PRINCESS ANNE ROAD,Flooded street,2014-07-10 15:37:48,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
418,E PRINCESS ANNE ROAD & TIDEWATER DRIVE,Flooded street,2014-07-10 15:38:27,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
419,CHESAPEAKE BOULEVARD & LAFAYETTE BOULEVARD,Flooded street,2014-07-10 15:39:07,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
420,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Flooded street,2014-07-10 15:39:42,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
421,CROMWELL ROAD & TAIT TERRACE,Flooded street,2014-07-10 15:40:13,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
422,INGLESIDE ROAD & DENVER AVENUE,Flooded street,2014-07-10 15:40:41,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
423,1200 BLOCK OF COLONIAL AVENUE,Flooded street,2014-07-10 15:41:20,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
424,225 W OLNEY ROAD,Flooded street,2014-07-10 15:42:40,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
425,3755 E VIRGINIA BEACH BOULEVARD,Flooded street,2014-07-10 15:43:09,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
426,W OLNEY ROAD & W VIRGINIA BEACH BOULEVARD,Flooded street,2014-07-10 15:43:46,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
427,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Flooded underpass,2014-07-10 15:49:49,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
428,BLOW STREET & GRAYDON AVENUE,Flooded street,2014-07-10 15:53:56,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
429,105 MIDTOWN TUNNEL,Flooded street,2014-07-10 15:56:23,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
430,198 BANK STREET,Flooded street,2014-07-10 15:58:08,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
431,3500 BLOCK OF SEWELLS POINT ROAD,Flooded street,2014-07-10 16:39:15,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
432,900 BLOCK OF MERRIMAC AVENUE,Flooded street,2014-07-10 16:40:31,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
433,COLLEY AVENUE & W 27TH STREET,Flooded street,2014-07-10 16:41:36,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
434,700 BLOCK OF SPOTSWOOD AVENUE,Flooded street,2014-07-10 16:42:47,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
435,COLLEY AVENUE & W 22ND STREET,Flooded underpass,2014-07-10 16:48:20,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
436,2400 BLOCK OF HEMLOCK STREET,Flooded street,2014-07-10 17:13:31,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
437,1060 CHARLNEY AVENUE,Flooded street,2014-07-10 17:19:46,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
438,E VIRGINIA BEACH BOULEVARD & MONTICELLO AVENUE,Flooded street,2014-07-10 17:25:51,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
439,E VIRGINIA BEACH BOULEVARD & SAINT PAUL STREET,Flooded street,2014-07-10 17:26:48,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
440,700 BLOCK OF MONTICELLO AVENUE,Flooded street,2014-07-10 17:27:57,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
441,E PRINCESS ANNE ROAD & MONTICELLO AVENUE,Flooded street,2014-07-10 17:32:20,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
442,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2014-07-10 20:41:48,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
443,DEBREE AVENUE & W PRINCESS ANNE ROAD,Flooded street,2014-07-10 20:43:59,7/10 Thunderstorms-2014-07-10,2014-07-10,2014-07-10
444,HAMPTON BOULEVARD & W 21ST STREET,Flooded street,2014-07-24 20:29:25,unnamed-2014-07-24,2014-07-24,2014-07-24
445,HAMPTON BOULEVARD & W 21ST STREET,Flooded underpass,2014-07-24 20:29:25,unnamed-2014-07-24,2014-07-24,2014-07-24
446,COLONIAL AVENUE & W 21ST STREET,Flooded street,2014-07-24 20:31:07,unnamed-2014-07-24,2014-07-24,2014-07-24
447,BLUESTONE AVENUE & 49TH STREET,Flooded street,2014-07-24 20:31:41,unnamed-2014-07-24,2014-07-24,2014-07-24
448,8000 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-07-24 20:32:28,unnamed-2014-07-24,2014-07-24,2014-07-24
449,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2014-07-24 20:33:35,unnamed-2014-07-24,2014-07-24,2014-07-24
450,TIDEWATER DRIVE & CENTRAL BUSINESS PARK DRIVE,Flooded street,2014-07-24 20:40:30,unnamed-2014-07-24,2014-07-24,2014-07-24
451,800 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2014-07-24 20:43:55,unnamed-2014-07-24,2014-07-24,2014-07-24
452,7900 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-07-24 20:47:00,unnamed-2014-07-24,2014-07-24,2014-07-24
453,9600 BLOCK OF TIDEWATER DRIVE,Flooded street,2014-07-24 20:47:28,unnamed-2014-07-24,2014-07-24,2014-07-24
454,HAMPTON BOULEVARD & TERMINAL BOULEVARD,Flooded street,2014-07-24 20:47:53,unnamed-2014-07-24,2014-07-24,2014-07-24
455,E BRAMBLETON AVENUE & ROSWELL AVENUE,Flooded street,2014-07-24 20:48:41,unnamed-2014-07-24,2014-07-24,2014-07-24
456,W LITTLE CREEK ROAD & RUTHVEN ROAD,Flooded street,2014-07-24 20:59:40,unnamed-2014-07-24,2014-07-24,2014-07-24
457,DUKE STREET & W OLNEY ROAD,Flooded street,2014-07-24 21:10:53,unnamed-2014-07-24,2014-07-24,2014-07-24
458,BOUSH STREET & W OLNEY ROAD,Flooded street,2014-07-24 21:11:28,unnamed-2014-07-24,2014-07-24,2014-07-24
459,COLONIAL AVENUE & W PRINCESS ANNE ROAD,Flooded street,2014-07-24 21:13:43,unnamed-2014-07-24,2014-07-24,2014-07-24
460,TIDEWATER DRIVE & BAPAUME AVENUE,Flooded street,2014-07-24 21:20:23,unnamed-2014-07-24,2014-07-24,2014-07-24
461,JOHNSTONS ROAD & NORTH GATE DRIVE,Flooded street,2014-07-26 20:08:03,unnamed-2014-07-24,2014-07-24,2014-07-26
462,GRANBY STREET & TIDEWATER DRIVE,Flooded underpass,2014-08-18 17:03:45,AUG 18 2014-2014-08-18,2014-08-18,2014-08-18
463,2600 BLOCK OF GOSNOLD AVENUE,Flooded street,2014-09-04 16:10:45,Thunderstorm-2014-09-04,2014-09-04,2014-09-04
464,2600 BLOCK OF COLLEY AVENUE,Flooded street,2014-09-04 16:11:52,Thunderstorm-2014-09-04,2014-09-04,2014-09-04
465,HAMPTON BOULEVARD & JAMESTOWN CRESCENT,Flooded street,2014-09-04 16:14:43,Thunderstorm-2014-09-04,2014-09-04,2014-09-04
466,4900 BLOCK OF POWHATAN AVENUE,Flooded street,2014-09-04 16:18:08,Thunderstorm-2014-09-04,2014-09-04,2014-09-04
467,4900 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-09-04 16:19:29,Thunderstorm-2014-09-04,2014-09-04,2014-09-04
468,MONTICELLO AVENUE & E FREEMASON STREET,Flooded street,2014-09-08 14:45:03,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
469,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2014-09-08 14:47:40,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
470,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2014-09-08 14:53:17,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
471,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Flooded street,2014-09-08 14:53:45,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
472,BELLMORE AVENUE & E VIRGINIA BEACH BOULEVARD,Flooded street,2014-09-08 15:14:23,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
473,GOSNOLD AVENUE & W 26TH STREET,Flooded street,2014-09-08 15:15:03,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
474,700 BLOCK OF BALLENTINE BOULEVARD,Flooded street,2014-09-08 15:26:36,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
475,COLLEY AVENUE & W 21ST STREET,Flooded underpass,2014-09-08 15:47:52,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
476,LIGON STREET & W BERKLEY AVENUE,Flooded street,2014-09-08 15:48:22,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
477,E VIRGINIA BEACH BOULEVARD & MONTICELLO AVENUE,Flooded street,2014-09-08 15:48:47,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
478,700 BLOCK OF MONTICELLO AVENUE,Flooded street,2014-09-08 15:54:19,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
479,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Flooded street,2014-09-08 15:55:23,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
480,COLONIAL AVENUE & GRAYDON AVENUE,Flooded street,2014-09-08 15:59:38,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
481,COLONIAL AVENUE & W PRINCESS ANNE ROAD,Flooded street,2014-09-08 16:01:06,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
482,E BRAMBLETON AVENUE & ROSWELL AVENUE,Flooded street,2014-09-08 16:05:13,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
483,CHURCH STREET & GOFF STREET,Flooded street,2014-09-08 16:05:37,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
484,DEBREE AVENUE & W PRINCESS ANNE ROAD,Flooded street,2014-09-08 16:17:47,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
485,1600 BLOCK OF E BRAMBLETON AVENUE,Flooded street,2014-09-08 16:22:32,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
486,6600 BLOCK OF STONEY POINT SOUTH,Flooded street,2014-09-08 16:48:31,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
487,STONEY POINT SOUTH & N NEWTOWN ROAD,Flooded street,2014-09-08 17:37:04,Rainy Monday-2014-09-08,2014-09-08,2014-09-08
488,300 BLOCK OF CAMPOSTELLA ROAD,Flooded street,2014-09-09 05:50:20,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
489,E BRAMBLETON AVENUE & PARK AVENUE,Flooded street,2014-09-09 05:50:48,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
490,MAJESTIC AVENUE & E VIRGINIA BEACH BOULEVARD,Flooded street,2014-09-09 05:51:16,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
491,E CHARLOTTE STREET & FENCHURCH STREET,Flooded street,2014-09-09 05:51:40,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
492,AZALEA GARDEN ROAD & E PRINCESS ANNE ROAD,Flooded street,2014-09-09 05:52:07,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
493,BOUSH STREET & W OLNEY ROAD,Flooded street,2014-09-09 07:15:32,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
494,1300 BLOCK OF LLEWELLYN AVENUE,Flooded street,2014-09-09 07:58:26,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
495,900 BLOCK OF E BRAMBLETON AVENUE,Flooded street,2014-09-09 08:13:26,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
496,8651 STURGIS STREET,Flooded street,2014-09-09 08:21:26,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
497,BRACEY STREET & SUTTON STREET,Flooded street,2014-09-09 08:35:46,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
498,3661 E VIRGINIA BEACH BOULEVARD,Flooded street,2014-09-09 09:47:27,Rainy Monday-2014-09-08,2014-09-08,2014-09-09
499,GRANBY STREET & WEST BELVEDERE ROAD,Flooded street,2014-09-13 07:30:56,NAPSG-2014-09-13,2014-09-13,2014-09-13
500,6000 BLOCK OF SOUTH RIVER ROAD,Flooded street,2014-09-13 07:42:24,NAPSG-2014-09-13,2014-09-13,2014-09-13
501,NEWPORT CRESCENT & SOUTH RIVER ROAD,Flooded street,2014-09-13 07:43:12,NAPSG-2014-09-13,2014-09-13,2014-09-13
502,131 WEST BELVEDERE ROAD,Flooded street,2014-09-13 11:23:50,NAPSG-2014-09-13,2014-09-13,2014-09-13
503,7900 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-09-13 16:31:36,Saturday Storm 9/13-2014-09-13,2014-09-13,2014-09-13
504,8000 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-09-13 16:32:18,Saturday Storm 9/13-2014-09-13,2014-09-13,2014-09-13
505,8100 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-09-13 16:32:45,Saturday Storm 9/13-2014-09-13,2014-09-13,2014-09-13
506,4601 MAYFLOWER ROAD,Flooded street,2014-09-24 11:36:31,HEAVY RAIN-2014-09-24,2014-09-24,2014-09-24
507,1000 BLOCK OF W BRAMBLETON AVENUE,Flooded street,2014-11-01 17:32:51,unnamed-2014-09-29,2014-09-29,2014-11-01
508,HAMPTON BOULEVARD & LARCHMONT CRESCENT,Flooded street,2014-11-01 18:01:33,unnamed-2014-09-29,2014-09-29,2014-11-01
509,900 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2014-11-17 16:14:26,STORM 11/17/14-2014-11-17,2014-11-17,2014-11-17
510,E LITTLE CREEK ROAD & FORT WORTH AVENUE,Flooded street,2014-12-24 16:45:51,unnamed-2014-11-23,2014-11-23,2014-12-24
511,5TH BAY STREET & E OCEAN VIEW AVENUE,Flooded street,2014-12-24 19:14:19,unnamed-2014-11-23,2014-11-23,2014-12-24
512,5200 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-01-18 11:22:45,unnamed-2014-11-23,2014-11-23,2015-01-18
513,1000 BLOCK OF CRAIG STREET,Flooded street,2015-01-18 11:23:28,unnamed-2014-11-23,2014-11-23,2015-01-18
514,7800 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-04-14 20:52:33,unnamed-2015-03-02,2015-03-02,2015-04-14
515,300 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2015-04-14 20:53:00,unnamed-2015-03-02,2015-03-02,2015-04-14
516,200 BLOCK OF HARVARD STREET,Flooded street,2015-06-02 14:17:57,unnamed-2015-03-02,2015-03-02,2015-06-02
517,900 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2015-06-02 14:21:35,unnamed-2015-03-02,2015-03-02,2015-06-02
518,1500 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2015-06-02 14:21:57,unnamed-2015-03-02,2015-03-02,2015-06-02
519,1600 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2015-06-02 14:22:16,unnamed-2015-03-02,2015-03-02,2015-06-02
520,200 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2015-06-02 14:22:43,unnamed-2015-03-02,2015-03-02,2015-06-02
521,1200 BLOCK OF JOHNSTONS ROAD,Flooded street,2015-06-02 14:58:16,unnamed-2015-03-02,2015-03-02,2015-06-02
522,1300 BLOCK OF JOHNSTONS ROAD,Flooded street,2015-06-02 14:58:38,unnamed-2015-03-02,2015-03-02,2015-06-02
523,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2015-06-02 15:16:41,unnamed-2015-03-02,2015-03-02,2015-06-02
524,2700 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-07-04 21:42:42,unnamed-2015-07-02,2015-07-02,2015-07-04
525,CROMWELL ROAD & TAIT TERRACE,Flooded street,2015-07-11 13:37:00,unnamed-2015-07-02,2015-07-02,2015-07-11
526,4100 BLOCK OF E VIRGINIA BEACH BOULEVARD,Flooded street,2015-07-11 13:37:45,unnamed-2015-07-02,2015-07-02,2015-07-11
527,5600 BLOCK OF RABY ROAD,Flooded street,2015-07-11 13:54:16,unnamed-2015-07-02,2015-07-02,2015-07-11
528,2500 BLOCK OF BALLENTINE BOULEVARD,Flooded street,2015-07-11 14:02:59,unnamed-2015-07-02,2015-07-02,2015-07-11
529,E VIRGINIA BEACH BOULEVARD & N NEWTOWN ROAD,Flooded street,2015-07-11 14:04:17,unnamed-2015-07-02,2015-07-02,2015-07-11
530,RABY ROAD & E VIRGINIA BEACH BOULEVARD,Flooded street,2015-07-11 14:07:01,unnamed-2015-07-02,2015-07-02,2015-07-11
531,300 BLOCK OF SHIRLEY AVENUE,Flooded street,2015-07-11 14:09:33,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
532,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2015-07-11 14:10:38,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
533,ROBIN HOOD ROAD & SHERWOOD FOREST LANE,Flooded street,2015-07-11 14:19:18,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
534,LINDENWOOD AVENUE & TIDEWATER DRIVE,Flooded street,2015-07-11 14:20:04,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
535,AZALEA GARDEN ROAD & E VIRGINIA BEACH BOULEVARD,Flooded street,2015-07-11 14:24:27,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
536,3800 BLOCK OF E PRINCESS ANNE ROAD,Flooded street,2015-07-11 14:51:52,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
537,LINDENWOOD AVENUE & TIDEWATER DRIVE,Flooded underpass,2015-07-11 14:54:01,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
538,SAINT JULIAN AVENUE & TIDEWATER DRIVE,Flooded street,2015-07-11 15:01:18,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
539,AZALEA GARDEN ROAD & E PRINCESS ANNE ROAD,Flooded street,2015-07-11 15:14:42,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
540,1100 BLOCK OF GEORGETOWN ROAD,Flooded street,2015-07-11 15:48:04,Thunderstorm-2015-07-11,2015-07-11,2015-07-11
541,900 BLOCK OF BAGNALL ROAD,Flooded street,2015-09-02 18:42:27,09/02/15-2015-09-02,2015-09-02,2015-09-02
542,401 MONTICELLO AVENUE,Flooded street,2015-09-23 14:37:57,unnamed-2015-09-17,2015-09-17,2015-09-23
543,38TH STREET & GRANBY STREET,Flooded street,2015-09-24 18:31:50,Noreaster-2015-09-24,2015-09-24,2015-09-24
544,9519 17TH BAY STREET,Flooded street,2015-09-25 12:37:39,Noreaster-2015-09-24,2015-09-24,2015-09-25
545,6000 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-09-26 08:46:20,Noreaster-2015-09-24,2015-09-24,2015-09-26
546,BOUSH STREET & W OLNEY ROAD,Flooded street,2015-09-26 08:48:55,Noreaster-2015-09-24,2015-09-24,2015-09-26
547,COLONIAL AVENUE & MASSACHUSETTS AVENUE,Flooded street,2015-09-26 11:12:43,Noreaster-2015-09-24,2015-09-24,2015-09-26
548,DELAWARE AVENUE & MAYFLOWER ROAD,Flooded street,2015-09-26 21:18:51,Noreaster-2015-09-24,2015-09-24,2015-09-26
549,COLONIAL AVENUE & NEW HAMPSHIRE AVENUE,Flooded street,2015-09-26 21:19:24,Noreaster-2015-09-24,2015-09-24,2015-09-26
550,COLONIAL AVENUE & MAYFLOWER ROAD,Flooded street,2015-09-26 21:19:55,Noreaster-2015-09-24,2015-09-24,2015-09-26
551,MAYFLOWER ROAD & NEWPORT AVENUE,Flooded street,2015-09-26 21:20:16,Noreaster-2015-09-24,2015-09-24,2015-09-26
552,LLEWELLYN AVENUE & W VIRGINIA BEACH BOULEVARD,Flooded street,2015-09-26 21:20:45,Noreaster-2015-09-24,2015-09-24,2015-09-26
553,DUKE STREET & W BRAMBLETON AVENUE,Flooded street,2015-09-26 21:21:33,Noreaster-2015-09-24,2015-09-24,2015-09-26
554,MASSACHUSETTS AVENUE & MAYFLOWER ROAD,Flooded street,2015-09-26 21:24:25,Noreaster-2015-09-24,2015-09-24,2015-09-26
555,E BRAMBLETON AVENUE & ROSWELL AVENUE,Flooded street,2015-09-26 21:35:56,Noreaster-2015-09-24,2015-09-24,2015-09-26
556,E CHARLOTTE STREET & WALKE STREET,Flooded street,2015-09-26 21:36:30,Noreaster-2015-09-24,2015-09-24,2015-09-26
557,E CITY HALL AVENUE & TIDEWATER DRIVE,Flooded street,2015-09-26 22:13:42,Noreaster-2015-09-24,2015-09-24,2015-09-26
558,E CHARLOTTE STREET & TIDEWATER DRIVE,Flooded street,2015-09-27 10:09:36,Noreaster-2015-09-24,2015-09-24,2015-09-27
559,4000 BLOCK OF LLEWELLYN AVENUE,Flooded street,2015-09-30 11:14:16,Joaquin-2015-09-29,2015-09-29,2015-09-30
560,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2015-09-30 23:59:58,Joaquin-2015-09-29,2015-09-29,2015-09-30
561,8100 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-10-01 00:00:58,Joaquin-2015-09-29,2015-09-29,2015-10-01
562,BOUSH STREET & W OLNEY ROAD,Flooded street,2015-10-01 00:03:57,Joaquin-2015-09-29,2015-09-29,2015-10-01
563,BOUSH STREET & W BRAMBLETON AVENUE,Flooded street,2015-10-01 00:08:03,Joaquin-2015-09-29,2015-09-29,2015-10-01
564,1200 BLOCK OF SURREY CRESCENT,Flooded street,2015-10-01 10:29:36,Joaquin-2015-09-29,2015-09-29,2015-10-01
565,1300 BLOCK OF SURREY CRESCENT,Flooded street,2015-10-01 10:36:14,Joaquin-2015-09-29,2015-09-29,2015-10-01
566,1600 BLOCK OF TARRALL AVENUE,Flooded street,2015-10-01 11:03:33,Joaquin-2015-09-29,2015-09-29,2015-10-01
567,GRANBY STREET & LLEWELLYN AVENUE,Flooded street,2015-10-01 11:03:49,Joaquin-2015-09-29,2015-09-29,2015-10-01
568,6200 BLOCK OF ROLFE AVENUE,Flooded street,2015-10-01 11:41:08,Joaquin-2015-09-29,2015-09-29,2015-10-01
569,1000 BLOCK OF CAMBRIDGE CRESCENT,Flooded street,2015-10-01 11:43:31,Joaquin-2015-09-29,2015-09-29,2015-10-01
570,6100 BLOCK OF CARROLL PLACE,Flooded street,2015-10-01 11:44:28,Joaquin-2015-09-29,2015-09-29,2015-10-01
571,500 BLOCK OF MAYFLOWER ROAD,Flooded street,2015-10-01 11:46:36,Joaquin-2015-09-29,2015-09-29,2015-10-01
572,600 BLOCK OF MAYFLOWER ROAD,Flooded street,2015-10-01 11:47:17,Joaquin-2015-09-29,2015-09-29,2015-10-01
573,1500 BLOCK OF CATALPA STREET,Flooded street,2015-10-01 11:48:15,Joaquin-2015-09-29,2015-09-29,2015-10-01
574,100 BLOCK OF FILBERT STREET,Flooded street,2015-10-01 11:51:32,Joaquin-2015-09-29,2015-09-29,2015-10-01
575,200 BLOCK OF FILBERT STREET,Flooded street,2015-10-01 11:52:22,Joaquin-2015-09-29,2015-09-29,2015-10-01
576,COLONIAL AVENUE & MASSACHUSETTS AVENUE,Flooded street,2015-10-01 12:10:24,Joaquin-2015-09-29,2015-09-29,2015-10-01
577,800 BLOCK OF 51ST STREET,Flooded street,2015-10-01 12:14:19,Joaquin-2015-09-29,2015-09-29,2015-10-01
578,TIDEWATER DRIVE & RUFFNER STREET,Flooded street,2015-10-01 12:50:44,Joaquin-2015-09-29,2015-09-29,2015-10-01
579,6500 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-10-01 13:08:06,Joaquin-2015-09-29,2015-09-29,2015-10-01
580,6000 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-10-01 13:23:55,Joaquin-2015-09-29,2015-09-29,2015-10-01
581,3530 BAPAUME AVENUE,Flooded street,2015-10-01 13:48:31,Joaquin-2015-09-29,2015-09-29,2015-10-01
582,4100 BLOCK OF LLEWELLYN AVENUE,Flooded street,2015-10-02 01:10:48,Joaquin-2015-09-29,2015-09-29,2015-10-02
583,DUKE STREET & W OLNEY ROAD,Flooded street,2015-10-02 01:31:38,Joaquin-2015-09-29,2015-09-29,2015-10-02
584,E CHARLOTTE STREET & TIDEWATER DRIVE,Flooded street,2015-10-02 02:04:39,Joaquin-2015-09-29,2015-09-29,2015-10-02
